Time(hh:mm:ss),Temperature(C),1,2,3,4,5,6,7,8,9,10,11,12,,,,
,,1165.874,1158.214,1167.185,1200.707,1168.344,1165.918,1274.521,1519.616,1558.105,1107.393,1018.186,1148.912,,,,
,,160.992,164.393,164.416,162.455,159.707,178.053,169.62,183.069,184.459,57.625,56.498,55.662,,,,
,,,,,,,,,,,,,,,,,
28:00:00,37,333.136,318.291,317.714,487.195,486.338,471.935,662.392,726.491,805.266,169.597,179.665,213.059,,,,
,,324.17,316.943,319.64,524.877,442.93,432.121,667.235,648.633,830.889,766.716,698.571,729.678,,,,
,,323.198,316.511,314.976,527.383,427.631,428.5,641.532,723.51,794.757,768.766,718.63,902.975,,,,
,,544.66,407.743,481.761,836.944,672.683,684.293,1070.515,1146.995,1109.867,771.55,798.525,857.479,,,,
,,536.743,464.333,471.778,840.782,678.437,697.024,1090.143,1039.135,1127.388,1083.365,814.646,1222.09,,,,
,,556.592,443.11,478.293,871.683,656.437,721.245,1134.379,1166.796,1062.288,1101.199,1077.18,976.301,,,,
,,1135.223,1161.53,1171.273,1215.486,1167.25,1166.931,1272.913,1519.814,1553.321,1107.728,1040.615,1160.327,,,,
,,158.941,161.004,162.551,161.463,160.773,176.046,169.874,180.237,184.209,56.774,54.806,54.441,,,,
,,,,,,,,,,,,,,,,,
29:00:00,37,341.785,325.245,331.978,505.684,499.703,482.691,683.942,755.424,832.303,172.889,182.723,217.275,,,,
,,337.944,324.501,325.155,537.844,457.85,445.828,701.479,675.217,833.398,788.221,736.936,750.906,,,,
,,325.523,323.099,331.086,549.44,431.849,438.003,671.769,751.254,822.715,783.165,726.524,924.762,,,,
,,559.944,426.081,503.149,859.393,682.033,714.887,1104.698,1166.608,1136.575,789.371,831.472,887.952,,,,
,,550.131,466.76,493.206,886.258,699.556,717.298,1124.471,1068.408,1146.358,1113.723,837.011,1255.333,,,,
,,556.852,460.634,492.846,895.341,681.994,734.864,1145.609,1218.874,1122.17,1122.432,1113.158,1014.845,,,,
